name,lat,lng,time
"Aachen Hbf",50.7677663,6.0913818,06:15-22:30
Aalen,48.841004,10.0965113,"Mo-Fr 07:50-12:00, 12:45-18:10; Sa: 08:50-13:40, 14:25-19:10; So 08:50-13:45, 14:45-21:10"
Altenbeken,51.7658783,8.9431876,08:15-17:45
Ansbach,49.298931,10.5775584,"Mo-Sa 06:50-18:50"
Aschaffenburg,49.9806657,9.1438818,06:00-22:00
Augsburg,48.2636937,10.6071372,06:00-23:15
Aulendorf,47.9528813,9.643902,"Mo-Fr 06:30-16:45"
"Bad Kreuznach",49.84328685,7.865075119574743,"Mo 08:00-20:00"
Baden-Baden,48.789431,8.190601,"Mo-Sa 06:00-22:30"
Bamberg,49.9006357,10.8997336,"Mo-Sa 05:00-22:30"
"Basel Bad Bf",47.567436,7.6071632,00:00-24:00
Bayreuth,49.9498313,11.5798173,07:00-19:00
"Berlin Alexanderplatz",52.5215661,13.4112804,06:00-22:30
"Berlin Friedrichstraße",52.5201744,13.3869884,06:00-22:30
"Berlin Gesundbrunnen",52.5486453,13.3902169,06:00-22:30
"Berlin Hbf",52.5249451,13.3696614,00:00-24:00
Berlin-Lichtenberg,52.5097832,13.4961404,"Mo 06:00-22:00"
"Berlin Ostbahnhof",52.5103817,13.4349112,06:00-22:30
"Berlin Ostkreuz",52.5035668,13.4697788,06:00-22:30
"Berlin Potsdamer Platz",52.5094035,13.3766399,06:00-22:30
"Flughafen BER-Terminal 1-2",52.3639907,13.5083312,06:00-22:30
Berlin-Spandau,52.5347694,13.1956287,06:00-22:30
"Berlin Südkreuz",52.4759806,13.3650726,06:00-22:30
Berlin-Wannsee,52.421199,13.1800603,06:00-22:30
"Berlin Zool. Garten",52.50737731186597,13.332369522084552,06:00-22:30
"Bielefeld Hbf",52.0293323,8.5327135,06:00-22:30
Bietigheim-Bissingen,48.9479046,9.1371243,"Mo-Fr 06:15-20:00"
"Bochum Hbf",51.4785335,7.2232341,06:20-22:15
"Bonn Hbf",50.7320436,7.0967647,06:00-22:30
"Braunschweig Hbf",52.2521444,10.5403354,06:00-22:30
"Bremen Hbf",53.0832972,8.8137576,06:00-23:45
"Bremerhaven Hbf",53.5350147,8.5993743,08:00-19:45
Bruchsal,49.1248375,8.5910018,"Mo-Sa 06:00-21:15"
Buchloe,48.03475,10.7175158,07:15-21:00
"Chemnitz Hbf",50.8395789,12.9305892,06:00-22:00
Coburg,50.2627593,10.9575111,06:30-18:30
"Cottbus Hbf",51.7512991,14.3223077,06:00-22:30
Crailsheim,49.1385945,10.0649528,"Mo-Sa 08:05-12:45, 13:30-18:40"
"Darmstadt Hbf",49.8728528,8.6294113,"Mo-Fr 06:15-22:15"
Delmenhorst,53.0528092,8.6294626,08:00-17:45
Dessau,51.8398819,12.2347891,08:00-18:00
Donauwörth,48.7144252,10.771755,06:00-19:00
"Dortmund Hbf",51.5178935,7.4592831,00:00-24:00
"Dresden Hbf",51.0402452,13.7320768,06:00-24:00
Dresden-Neustadt,51.0658669,13.7405404,06:00-22:00
"Düsseldorf Flughafen",51.2915724,6.7869558,"06:45-13:30, 14:15-22:00"
"Düsseldorf Hbf",51.219734,6.7943015,00:00-24:00
"Duisburg Hbf",51.4296701,6.7761771,06:00-22:30
Eckernförde,54.4678292,9.8349414,"Mo, Fr 09:30-13:30"
Eisenach,50.9768973,10.3319937,06:00-22:30
Elmshorn,53.7542251,9.6592636,"Mo-Fr 05:30-22:00"
"Emden Hbf",53.3690779,7.1951814,08:00-18:30
"Erfurt Hbf",50.9722853,11.0380824,06:00-22:45
Erlangen,49.5965976,11.0002303,07:00-19:00
"Essen Hbf",51.4514769,7.0144679,00:00-24:00
Flensburg,54.7748169,9.4369629,08:00-20:00
"Frankfurt (Main) Hbf",50.1066539,8.6625808,00:00-24:00
"Frankfurt (Main) Flughafen Fernbahnhof",50.0529322,8.5699146,00:00-24:00
"Frankfurt (Main) Flughafen Regionalbahnhof",50.051299,8.5717548,06:10-22:15
"Frankfurt (Main) Süd",50.0993379,8.6862694,06:10-22:15
"Frankfurt (Oder)",52.3373431,14.546883680419011,"Mo-Sa 06:00-22:30"
"Freiburg (Brsg)",47.99717831787063, 7.84075355824879,06:00-24:00
Freilassing,47.8363185,12.97776998539604,"Mo-Fr 06:30-18:30"
"Friedberg (Hess)",50.3326909,8.761258,"Mo 06:40-19:20"
Friedrichshafen,47.6532337,9.4737004,"Mo-Sa 08:15-19:00"
Fürth,49.6486157,8.7810218,07:00-19:00
Fulda,50.5547541,9.6843823,06:10-22:20
Garmisch-Partenkirchen,47.491279,11.0983904,"Mo-Fr 06:30-22:00"
"Gelsenkirchen Hbf",51.5047677,7.1022983,06:20-22:15
"Gera Hbf",50.883322,12.0772428,06:00-20:00
Gießen,50.5798685,8.6622116,06:10-22:20
Görlitz,51.147098,14.9806485,"Mo 06:00-19:00"
Göttingen,51.5367782,9.926149422675923,06:00-22:30
Hagen,52.5747032,9.4082931,06:00-22:30
"Halle (Saale)Hbf",51.4775111,11.9872325,06:00-22:30
Hamburg-Altona,53.5521527,9.9345653,06:00-22:30
Hamburg-Dammtor,53.56083099999999,9.98959675835682,06:00-22:30
Hamburg-Harburg,53.4557227,9.9917669,06:00-22:30
"Hamburg Hbf",53.5531993,10.0064364,00:00-24:00
"Hamm Hbf",51.6785747,7.807713,06:30-22:00
"Hanau Hbf",50.1210733,8.9292147,06:10-22:15
"Hannover Hbf",52.3769504,9.7416533,00:00-24:00
"Heide (Holst)",54.1928922,9.1008098,08:00-20:00
"Heidelberg Hbf",49.4034737,8.6754223,06:00-24:00
"Heilbronn Hbf",49.1431403,9.2076637,"Mo-Sa 06:00-22:00"
Herford,52.118199,8.6637624,"Mo-Fr 07:15-17:15"
"Hildesheim Hbf",52.1607208,9.9542033,06:00-22:30
"Hof Hbf",50.3080628,11.923314,07:00-19:00
"Homburg (Saar) Hbf",49.3278137,7.3365309,"Tu-Th, Sa-Su 08:50-18:50"
Husum,54.47266185,9.055814936044975,08:00-20:00
"Ingolstadt Hbf",48.7443901,11.4374071,06:00-22:15
"Jena Paradies",50.9247973,11.5873629,08:00-18:00
"Kaiserslautern Hbf",49.4359851,7.7689299,"Mo-Fr 07:10-20:30"
"Karlsruhe Hbf",48.9936164,8.4020518,06:00-24:00
Kassel-Wilhelmshöhe,51.3113881,9.4477049,06:10-22:20
Kempten,47.7119399,10.3176518,"08:00-13:45, 14:30-20:00"
"Kiel Hbf",54.3134463,10.1310136,06:00-22:30
